bigram	frequency
peoples impacts	5
existing infrastructures	5
year development	5
las disposiciones	5
le domaine	5
years ago	5
overall production	5
gains made	5
data npv	5
water erosion	5
computerized monitoring	5
gdp resulting	5
de sanidad	5
higher production	5
strengthening producer	5
high five	5
urban development	5
provide emergency	5
agricultural imports	5
poor countries	5
cost component	5
fonds un	5
also offers	5
environmental specialists	5
industrial policy	5
million indicative	5
resilience capacity	5
specific training	5
quality products	5
information campaign	5
establishing sustainable	5
key afdb	5
traditional irrigation	5
agriculture exports	5
end check	5
within mofa	5
last months	5
involving local	5
component targets	5
annuelle ucg	5
programme provides	5
information exchange	5
include climate	5
actions incorporated	5
annual rice	5
farmer organization	5
considerable impact	5
impact monitoring	5
meteorological stations	5
taking advantage	5
agricultural economics	5
report ahai	5
employs percent	5
monitoring surveys	5
inspection visit	5
status reports	5
september project	5
monitoring costs	5
statistics agency	5
project closure	5
visits will	5
also supporting	5
provincial management	5
titled area	5
family planning	5
future project	5
credit providers	5
employment policy	5
fish stock	5
marketing strategy	5
agriculture support	5
org country	5
inclusive policy	5
nations children	5
particularly young	5
seed growers	5
cost table	5
grant account	5
considerable experience	5
livestock disease	5
future benefits	5
environmental regulations	5
sanit ahws	5
physical capital	5
high probability	5
project governance	5
land already	5
security ongoing	5
agricultura familiar	5
diverse agricultural	5
parte del	5
services quarterly	5
coordination nationale	5
japanese international	5
north west	5
led production	5
development sites	5
well established	5
existing programs	5
biodiversity loss	5
community radios	5
belgian technical	5
micro irrigation	5
locations will	5
special measures	5
conservation plans	5
adaptation strategy	5
cross cutting	5
new employment	5
first disbursements	5
financial records	5
boost sustainability	5
field extension	5
representing per	5
production cycles	5
le cso	5
export base	5
budget situation	5
evelopm ent	5
critical areas	5
monto del	5
promote innovative	5
equality yes	5
gap analysis	5
diversify exports	5
medium risk	5
staple crop	5
disclosure policy	5
evaluation surveys	5
lending program	5
strategic pillar	5
agro climatic	5
extension strategy	5
report rdgw	5
ancillary activities	5
primary producers	5
lased ii	5
risk identified	5
st july	5
also recommended	5
global demand	5
coordinate monitoring	5
disease outbreak	5
firm recruited	5
capital intensive	5
consultative process	5
environmental sanitation	5
ambitious goal	5
protect natural	5
agricultural holdings	5
scale mining	5
et communication	5
including accounting	5
farmer based	5
free zone	5
water access	5
geographical position	5
management interventions	5
work experience	5
ultimately improve	5
addressing rural	5
increase opportunities	5
school enrolment	5
donor group	5
chain promotion	5
knowledge disseminated	5
des directions	5
border areas	5
women engaged	5
loan funds	5
idb development	5
generate employment	5
contributing factor	5
using different	5
charcoal production	5
households reporting	5
forms part	5
million may	5
assessment process	5
also developed	5
including representatives	5
instrument tsf	5
improve equitable	5
strategic goals	5
fd will	5
policy principles	5
producteurs aux	5
overall objectives	5
outreach campaign	5
secondary data	5
price method	5
mitigative measure	5
water quantity	5
jobs will	5
overall governance	5
soil testing	5
african savannah	5
maintenance plans	5
de solliciter	5
evaluation unit	5
archiving system	5
poor knowledge	5
rate cap	5
annual planning	5
growth averaging	5
de bolivia	5
electricity production	5
real per	5
des cadres	5
development officers	5
agricultural adaptation	5
may cap	5
leadership role	5
annual piu	5
objetivo de	5
anecdotal evidence	5
budget program	5
des missions	5
reporting period	5
aval de	5
northern parts	5
beneficiary participation	5
chain specialist	5
la prise	5
intervention framework	5
children aged	5
conducted within	5
counselling services	5
moroccan agricultural	5
yields remain	5
vocational guidance	5
forests will	5
pronged approach	5
last repayment	5
production sectors	5
shall adopt	5
san juan	5
december closing	5
communications strategy	5
consider safeguards	5
les groupements	5
immunodeficiency virus	5
dated december	5
community forestry	5
departments responsible	5
green finance	5
managed irrigation	5
strategy aims	5
sized farms	5
outputs estimated	5
new customs	5
svetlana edmeades	5
boost shared	5
loan granted	5
accounts management	5
strengthen project	5
commodity markets	5
five children	5
construction practices	5
congo multi	5
political transition	5
regional ida	5
focal areas	5
forest area	5
round irrigation	5
forest governance	5
international good	5
pbas cycles	5
aux dispositions	5
enterprises operating	5
year national	5
response window	5
prevention measures	5
small farm	5
safeguards performance	5
agribusiness clusters	5
ta will	5
permissible means	5
developmental impact	5
generating capacity	5
conflicts among	5
estimated per	5
del marco	5
grant support	5
protection activities	5
inspection panel	5
basin development	5
oil revenues	5
adaptation review	5
added activities	5
agricultural reform	5
potential conflicts	5
based market	5
low overall	5
clearing house	5
new small	5
country capacity	5
stakeholder dialogue	5
rural institutions	5
consumer demand	5
project unit	5
proposed subprojects	5
third parties	5
name window	5
coordination capacity	5
global hunger	5
increase artisanal	5
audit missions	5
far short	5
extensions services	5
directly affect	5
time project	5
investments may	5
le cas	5
near nanni	5
term credit	5
technical activities	5
rica ii	5
disseminate information	5
growth diagnostic	5
climate hotspots	5
objectives set	5
management action	5
first review	5
performance improvement	5
increasing population	5
ibrd others	5
land recipients	5
see figure	5
veterinary service	5
promote inclusion	5
muyinga provinces	5
reliable irrigation	5
lower middle	5
agricultural universities	5
farmers increased	5
closely coordinated	5
rice seeds	5
previous year	5
harnessing structures	5
improve sector	5
jeunes dans	5
farmer training	5
pamra act	5
business forum	5
will design	5
improved debt	5
road works	5
public administrations	5
continuous support	5
las acciones	5
attention given	5
de ans	5
project proposal	5
implementing decrees	5
performance will	5
agriculture products	5
benefit cost	5
information available	5
export product	5
relevant measures	5
national training	5
highland areas	5
financed rural	5
legal entity	5
reform priorities	5
focal area	5
sector dialogue	5
will indirectly	5
partnerships established	5
support value	5
new ways	5
valorisation des	5
khartoum state	5
ifad procedures	5
low impact	5
area treatment	5
technical inputs	5
electricity distribution	5
budget includes	5
farmer fields	5
local producers	5
plan covering	5
economy remains	5
existing systems	5
limited institutional	5
safety conditions	5
field offices	5
que des	5
basin level	5
improve nutrition	5
change projections	5
women earn	5
users trained	5
gender impact	5
shopping tbd	5
implementing climate	5
medium due	5
international reserves	5
dev elopment	5
management decision	5
processing system	5
throughout preparation	5
summary overview	5
progeba unit	5
op om	5
contributes directly	5
villages predesign	5
evd epidemic	5
design studies	5
alternative invest	5
limited budget	5
overall environmental	5
drought resistant	5
capital opportunity	5
increased carbon	5
financial economist	5
strategy papers	5
resource efficiency	5
place dans	5
rural municipality	5
improved feed	5
drrf grant	5
dli matrix	5
small stock	5
financial net	5
level project	5
affordable prices	5
reducing greenhouse	5
severely impacted	5
response financing	5
one will	5
improve business	5
low oil	5
technical review	5
planning indicators	5
ta support	5
implementation mechanisms	5
economic risks	5
audit institutions	5
urban rural	5
external experts	5
rural non	5
carbon stocks	5
regularizing rural	5
increasing demand	5
support access	5
agricultural programs	5
drdr dapsa	5
funding mechanism	5
upper middle	5
eliminating extreme	5
humid savannahs	5
climate resiliency	5
appraisal reports	5
sector lending	5
global average	5
development investment	5
economic value	5
logistics performance	5
malnutrition prevalence	5
imposed within	5
phborrowersec tion	5
hectare per	5
various initiatives	5
alternative energy	5
skinner chief	5
external evaluation	5
revenue sources	5
close consultation	5
strategic vision	5
comprehensive management	5
also accounts	5
tel que	5
using existing	5
jobs creation	5
tribal population	5
bank borrowers	5
financial programmes	5
industry will	5
significant loss	5
regions within	5
custom duty	5
address food	5
internationally recognized	5
output market	5
mostly site	5
investments required	5
disclosure chad	5
support kuwait	5
available data	5
operating budget	5
low project	5
timber production	5
rurales et	5
fragility management	5
monitoring environmental	5
cerc will	5
environmental consequences	5
community organization	5
outcomes expected	5
one thousand	5
environmental criteria	5
ouvert au	5
systems strengthening	5
farmer registration	5
skills needed	5
sdg target	5
ne sera	5
les partenaires	5
pom will	5
just one	5
larger scale	5
needs expressed	5
key stakeholder	5
assessment studies	5
newly established	5
agricultural component	5
foreign costs	5
world organisation	5
good nutrition	5
besoins du	5
en partie	5
future agricultural	5
economic model	5
million sub	5
additional secretary	5
tourism centers	5
due unallocated	5
young rural	5
buffer zones	5
led households	5
pesticides management	5
pdo results	5
support extension	5
development stakeholders	5
empowering farmers	5
three southern	5
operations funded	5
fiscal deficits	5
per kg	5
le mifa	5
manual myp	5
international organizations	5
policy dialogues	5
collected internally	5
global economy	5
analysis yielded	5
similar interventions	5
somalia component	5
particular interest	5
pourvoir dans	5
agricultural subsidy	5
fund intervention	5
recurring costs	5
irrigation rehab	5
collection system	5
greater efficiency	5
